codigo_ibge,municipio,latitude,longitude,bioma_predominante,corede,regiao_funcional
4316451,Salto do Jacuí,-29.0951,-53.2133,Pampa,Alto Jacuí,RF8
4316477,Salvador das Missões,-28.1233,-54.8373,Mata Atlântica,Missões,RF7
4316501,Salvador do Sul,-29.4386,-51.5077,Mata Atlântica,Vale do Caí,RF1
4316600,Sananduva,-27.947,-51.8079,Mata Atlântica,Nordeste,RF9
4316709,Santa Bárbara do Sul,-28.3653,-53.251,Pampa,Alto Jacuí,RF8
4316733,Santa Cecília do Sul,-28.1609,-51.9279,Mata Atlântica,Nordeste,RF9
4316758,Santa Clara do Sul,-29.4747,-52.0843,Mata Atlântica,Vale do Taquari,RF2
4316808,Santa Cruz do Sul,-29.722,-52.4343,Mata Atlântica,Vale do Rio Pardo,RF2
4316972,Santa Margarida do Sul,-30.3393,-54.0817,Pampa,Fronteira Oeste,RF6
4316907,Santa Maria,-29.6868,-53.8149,Pampa,Central,RF8
4316956,Santa Maria do Herval,-29.4902,-50.9919,Mata Atlântica,Paranhana Encosta da Serra,RF1
4317202,Santa Rosa,-27.8702,-54.4796,Mata Atlântica,Fronteira Noroeste,RF7
4317251,Santa Tereza,-29.1655,-51.7351,Mata Atlântica,Serra,RF3
4317301,Santa Vitória do Palmar,-33.525,-53.3717,Pampa,Sul,RF5
4317004,Santana da Boa Vista,-30.8697,-53.11,Pampa,Sul,RF5
4317103,Santana do Livramento,-30.8773,-55.5392,Pampa,Fronteira Oeste,RF6
4317400,Santiago,-29.1897,-54.8666,Pampa,Vale do Jaguari,RF8
4317608,Santo Antônio da Patrulha,-29.8268,-50.5175,Pampa,Metropolitano Delta do Jacuí,RF1
4317707,Santo Antônio das Missões,-28.514,-55.2251,Pampa,Missões,RF7
4317558,Santo Antônio do Palma,-28.4956,-52.0267,Mata Atlântica,Produção,RF9
4317756,Santo Antônio do Planalto,-28.403,-52.6992,Pampa,Produção,RF9
4317806,Santo Augusto,-27.8526,-53.7776,Pampa,Celeiro,RF7
4317905,Santo Cristo,-27.8263,-54.662,Mata Atlântica,Fronteira Noroeste,RF7
4317954,Santo Expedito do Sul,-27.9074,-51.6434,Mata Atlântica,Nordeste,RF9
4317509,Santo Ângelo,-28.3001,-54.2668,Pampa,Missões,RF7
4319901,Sapiranga,-29.6349,-51.0064,Mata Atlântica,Vale do Rio dos Sinos,RF1
4320008,Sapucaia do Sul,-29.8276,-51.145,Mata Atlântica,Vale do Rio dos Sinos,RF1
4320107,Sarandi,-27.942,-52.9231,Mata Atlântica,Rio da Várzea,RF9
4320206,Seberi,-27.4829,-53.4026,Mata Atlântica,Médio Alto Uruguai,RF9
4320230,Sede Nova,-27.6367,-53.9493,Mata Atlântica,Celeiro,RF7
4320263,Segredo,-29.3523,-52.9767,Mata Atlântica,Vale do Rio Pardo,RF2
4320305,Selbach,-28.6294,-52.9498,Mata Atlântica,Alto Jacuí,RF8
4320321,Senador Salgado Filho,-28.025,-54.5507,Pampa,Fronteira Noroeste,RF7
4320354,Sentinela do Sul,-30.6107,-51.5862,Pampa,Centro-Sul,RF1
4320404,Serafina Corrêa,-28.7126,-51.9352,Mata Atlântica,Serra,RF3
4320503,Sertão,-27.9798,-52.2588,Pampa,Norte,RF9
4320552,Sertão Santana,-30.4562,-51.6017,Pampa,Centro-Sul,RF1
4320578,Sete de Setembro,-28.1362,-54.4637,Mata Atlântica,Missões,RF7
4320602,Severiano de Almeida,-27.4362,-52.1217,Mata Atlântica,Norte,RF9
4320651,Silveira Martins,-29.6467,-53.591,Mata Atlântica,Central,RF8
4320677,Sinimbu,-29.5357,-52.5304,Mata Atlântica,Vale do Rio Pardo,RF2
4320701,Sobradinho,-29.4194,-53.0326,Mata Atlântica,Vale do Rio Pardo,RF2
4320800,Soledade,-28.8306,-52.5131,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4318002,São Borja,-28.6578,-56.0036,Pampa,Fronteira Oeste,RF6
4318051,São Domingos do Sul,-28.5312,-51.886,Mata Atlântica,Produção,RF9
4318101,São Francisco de Assis,-29.5547,-55.1253,Pampa,Vale do Jaguari,RF8
4318200,São Francisco de Paula,-29.4404,-50.5828,Mata Atlântica,Hortênsias,RF3
4318309,São Gabriel,-30.3337,-54.3217,Pampa,Fronteira Oeste,RF6
4318408,São Jerônimo,-29.9716,-51.7251,Pampa,Centro-Sul,RF1
4318440,São Jorge,-28.4984,-51.7064,Mata Atlântica,Serra,RF3
4318457,São José das Missões,-27.7789,-53.1226,Mata Atlântica,Rio da Várzea,RF9
4318465,São José do Herval,-29.052,-52.295,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4318481,São José do Hortêncio,-29.528,-51.245,Mata Atlântica,Vale do Caí,RF1
4318499,São José do Inhacorá,-27.7251,-54.1275,Mata Atlântica,Fronteira Noroeste,RF7
4318507,São José do Norte,-32.0151,-52.0331,Pampa,Sul,RF5
4318606,São José do Ouro,-27.7707,-51.5966,Mata Atlântica,Nordeste,RF9
4318614,São José do Sul,-29.5448,-51.4821,Mata Atlântica,Vale do Caí,RF1
4318622,São José dos Ausentes,-28.7476,-50.0677,Mata Atlântica,Campos de Cima da Serra,RF3
4318424,São João da Urtiga,-27.8195,-51.8257,Mata Atlântica,Nordeste,RF9
4318432,São João do Polêsine,-29.6194,-53.4439,Mata Atlântica,Central,RF8
4318705,São Leopoldo,-29.7545,-51.1498,Mata Atlântica,Vale do Rio dos Sinos,RF1
4318804,São Lourenço do Sul,-31.3564,-51.9715,Pampa,Sul,RF5
4318903,São Luiz Gonzaga,-28.412,-54.9559,Pampa,Missões,RF7
4319000,São Marcos,-28.9677,-51.0696,Mata Atlântica,Serra,RF3
4319109,São Martinho,-27.7112,-53.9699,Mata Atlântica,Celeiro,RF7
4319125,São Martinho da Serra,-29.5397,-53.859,Pampa,Central,RF8
4319158,São Miguel das Missões,-28.556,-54.5559,Pampa,Missões,RF7
4319208,São Nicolau,-28.1834,-55.2654,Pampa,Missões,RF7
4319307,São Paulo das Missões,-28.0195,-54.9404,Mata Atlântica,Missões,RF7
4319356,São Pedro da Serra,-29.4193,-51.5134,Mata Atlântica,Vale do Caí,RF1
4319364,São Pedro das Missões,-27.7706,-53.2513,Mata Atlântica,Rio da Várzea,RF9
4319372,São Pedro do Butiá,-28.1243,-54.8926,Mata Atlântica,Missões,RF7
4319406,São Pedro do Sul,-29.6202,-54.1855,Pampa,Central,RF8
4319505,São Sebastião do Caí,-29.5885,-51.3749,Mata Atlântica,Vale do Caí,RF1
4319604,São Sepé,-30.1643,-53.5603,Pampa,Jacuí Centro,RF8
4319703,São Valentim,-27.5583,-52.5237,Mata Atlântica,Norte,RF9
4319711,São Valentim do Sul,-29.0451,-51.7684,Mata Atlântica,Serra,RF3
4319737,São Valério do Sul,-27.7906,-53.9368,Mata Atlântica,Celeiro,RF7
4319752,São Vendelino,-29.3729,-51.3675,Mata Atlântica,Vale do Caí,RF1
4319802,São Vicente do Sul,-29.6882,-54.6826,Pampa,Vale do Jaguari,RF8
4320453,Sério,-29.3904,-52.2685,Mata Atlântica,Vale do Taquari,RF2
4320859,Tabaí,-29.643,-51.6823,Mata Atlântica,Vale do Taquari,RF2
4320909,Tapejara,-28.0652,-52.0097,Mata Atlântica,Nordeste,RF9
4321006,Tapera,-28.6277,-52.8613,Mata Atlântica,Alto Jacuí,RF8
